Datetime,Tweet Id,Text,Username
2023-02-13 23:58:20+00:00,1625283262863093762,"@DVATW Query: It this young man is pulled over for a traffic stop and disagrees with the officer, what will the outcome be?",OldScho72761891
2023-02-13 23:58:13+00:00,1625283232517304320,@query_queen339 gorgeous cover!!,Mel_Karibian
2023-02-13 23:57:48+00:00,1625283126250414080,"I'm curious, after the initial hype has died down, does anyone here actually use ChatGPT for some productive/work related purpose? My general take is: it's fun to play with and undoubtedly generates plausible-sounding responses to queries but...1/5",JohnDanaher
2023-02-13 23:57:46+00:00,1625283117010280449,"@elonmusk @andst7 and suddenly Twitter is Censored i tried one of many keywords that i searched before and only get 

""This is an invalid search query. Please try a different one.""

what do you have to hide?",LinkerMoeter
2023-02-13 23:57:43+00:00,1625283107124396032,"@ViliLe Using embeddings to index a corpus of domain-specific knowledge, you can achieve remarkably accurate results when searching for neural-similar content in response to a query or instruction.

""genuinely super impressive demos"" is happening as we speak, for many verticals.",rozgo
2023-02-13 23:57:15+00:00,1625282987058253824,why do we need ai chatbots? wouldn't a NLP system that allows you to query the internet be just as effective and also has the benefit of not having to train it to not be racist?,LegoshiStanAcc
2023-02-13 23:56:53+00:00,1625282894565617664,"This image is a snip from Answerthepublic, which gathers the most commonly entered search queries for any given keyword (for this search, I entered ""Cardano""). 

If I were a pro-Cardano blogger, I'd use scintillating titles like ""Why Cardano will fail"" to screw with the algorithm… https://t.co/Vs6nQSn1n4",cardanoan
2023-02-13 23:55:08+00:00,1625282458190073857,@CoinListSupport the ticket doesn't resolve my query.  does #adrianfixx on Instagram  solve coinlist query?,YONGCHA886
2023-02-13 23:54:34+00:00,1625282315004919811,"@BSearcher @NaveenGRao @pentagoniac Hang on, so ur tellin me i'm gonna have to d/l an app, and run a query for 15mins in the background, to get an answer that's totally fictitious 36% of the time

....and that i'm gonna choose that over google?!",robredotruthe
2023-02-13 23:54:14+00:00,1625282227901763585,"#google is failing to provide accurate information on the direction of winds and the spread of the #EastPalestine #vinylchloride cloud. queries: where is the vinyl chloride cloud right now, east palestine wind direction, where is the toxic cloud right now; its all oldish articles https://t.co/Ff4GL9akDB",scrletoctangula
2023-02-13 23:52:48+00:00,1625281867606786048,@Opiano_1 I’m on a data migration project….I shined my eyes when I say queries that were 100+ lines. Online sql course don’t prepare you for this!,MartinOlowe
2023-02-13 23:52:18+00:00,1625281742088339456,@Emma_Is_Writing I hear that. I hope it goes smoothly! And give a shout if you want xtra eyes on query letter or first pages,EileneSpear
2023-02-13 23:51:46+00:00,1625281610252951552,If I was more savvy I'd make a search engine chatbot called Sphinx that only answers your query if you can solve its riddle.,BenjaminDanard
2023-02-13 23:45:46+00:00,1625280097916952577,"Received my first query rejection today and that is OKAY, we march on! #query #AuthorsOfTwitter #WritingCommunity",kaymarser
2023-02-13 23:44:59+00:00,1625279901384290305,First query letter of the year sent and I’m excited about it! https://t.co/eE6wQdnxxJ,santitabooks
2023-02-13 23:44:39+00:00,1625279818077188097,"ChatGPT, a fast-growing artificial intelligence program, has drawn praise for its ability to write answers quickly to a wide range of queries, and also attracted U.S. lawmakers' attention https://t.co/8LcixYWLId",Butt7Rafique
2023-02-13 23:43:43+00:00,1625279582151606279,"@Bkind321 Hi, please do not reply to any other tweet which isn't from Metro bank regarding your query. Alternatively if you need further assistance you can contact us on 0345 08 08 500 during store hours. ^SA",MetroBank_Help
2023-02-13 23:43:41+00:00,1625279574190788608,@pikaso_me Kindly elaborate your query for us to assist you further. ~MM,StanChartNG
2023-02-13 23:43:19+00:00,1625279481043714048,@chuckwoolery Biden delegated the packing to his staff and says it’s their fault that they mixed these “stray documents” in with his personal junk like his Corvette owners manual. He personally didn’t do anything wrong. Query: How did the classified docs get from the SCIF to his office?,kilbaed
2023-02-13 23:43:17+00:00,1625279474236530688,"@FearStairLmk @JHOD1852 I'll help index. I'm a USA based volunteer for Ireland Reaching Out. I manage Shanadolden and Kilcolman, Co Limerick queries.

If you could scan images and email them I think that would work!

DM me if interested in my offer. Am prez of a small local genealogy society.",EdgesDancing
2023-02-13 23:41:52+00:00,1625279116416262145,@poppy_confesses @girlonthenet I was going to answer this query sincerely until I saw all the responses. haha,mudkri
2023-02-13 23:40:09+00:00,1625278686126649346,"@richardmills18 
Your query, source.
Check out Liverpool Echo for full story. Labour have so far refused to comment. https://t.co/hCAhVGPAkY",Thegiest
2023-02-13 23:38:00+00:00,1625278143173996549,"The Think20 (@T20org) serves as an “ideas bank” for the @g20org by bringing together think tanks &amp; experts to discuss policy issues relevant to the #G20.

If you'd like more information on the #T20 Secretariat, you can mail us your queries! https://t.co/EfkxMLBc1B",T20org
2023-02-13 23:37:44+00:00,1625278078032175104,I was in the middle of a query when I had to walk the dog. Cat was grouchy so I laid down to make him take a nap. Now I am stuck under a cat. https://t.co/eR35VfHG1E,joan_galt
2023-02-13 23:37:19+00:00,1625277973812371456,"Main issue here is that ChatGPT changed my query from being about confessions of germ warfare to ""false confessions of germ warfare."" The AI bot correctly notes the coercion class the recantations into question, but slips in without comment its own editorialization that the…",jeff_kaye
2023-02-13 23:36:18+00:00,1625277718177906689,It's frustrating that the internet assumes you know nothing. It took four different queries before I was able to get a simple SQL user manual. The first three were filled with day long courses to get some BS certificate. Somehow I don't have confidence that GPT makes this better.,bryankingxyz
2023-02-13 23:35:25+00:00,1625277493409193985,"Hit my DM for order and other queries!!
#intro #emoters #banners #gamingintro #badges #overlays #logo #gamer #streamergirl #twitchaffiliate #twitchstreamer #SmallStreamerCommunity #gamers #twitchtv #streamlabscom https://t.co/5EgLDG5uyw",AbbeyRogersGfx
2023-02-13 23:35:14+00:00,1625277448102244352,Rails N 1 queries auto-detection with zero false positives / false negatives (from 10/02/2023) #ruby #rubyonrails #programming https://t.co/87dEfrspsi,nezirzahirovic
2023-02-13 23:34:43+00:00,1625277316757864448,"@bryanltobing And when you off load that to a library like react-query there is not much ""central state"" left to use something like redux toolkit:

There is this talk by @tannerlinsley that is still true today:
https://t.co/stBXja6vPe",shivamjjha
2023-02-13 23:34:38+00:00,1625277295274639363,"2/ Built with documentation driven development, this next version will be much more feature rich supporting
- forge cheat codes
- mutations
- stateful queries
- solidity file imports",FUCORY
2023-02-13 23:34:09+00:00,1625277176936275968,"@Michelle4Laughs As someone on the opposite side of querying, I can't tell you how much authors appreciate agents who use QM and respond to every single query.",GSBrouwer
2023-02-13 23:32:38+00:00,1625276795825127424,bodgit/tsig (1.2.2): #Golang library to support additional TSIG methods for DNS queries https://t.co/POAs5d48J3,RealGophersShip
2023-02-13 23:32:12+00:00,1625276684575424516,"ChatGPT, a fast-growing artificial intelligence program, has drawn praise for its ability to write answers quickly to a wide range of queries, and also attracted U.S. lawmakers' attention https://t.co/N1TSvRtItd https://t.co/UxsbmkPv9o",feeds24x7
2023-02-13 23:30:05+00:00,1625276153119252482,@reginablkwrites @hodderscape @2023Debuts @Classof2kBooks thank you regina!!,query_queen339
2023-02-13 23:30:01+00:00,1625276136597880838,"#Memgraph related question on #Stackoverflow: How do you perform a recursive query in cypher where there is a conditional within the path relationship?

Link: https://t.co/fOjj2qvWK2

Created: 2023-02-13T15:05:22.000Z

#graphdatabase",HitoGrapER
2023-02-13 23:30:00+00:00,1625276130889699329,"Social media has lately been abuzz with queries on whether one can have sex after getting the COVID vaccine. | #COVID19 

https://t.co/P51SObojYx",lifestyle_ie
2023-02-13 23:29:21+00:00,1625275965525073921,"I've sent my queries, but the agents haven't replied yet. I guess they're just taking their time to hit 'decline' 😉
 #WriterStruggles #Publishing #WritingCommunity   #AuthorLife",CypherFluegel
2023-02-13 23:28:13+00:00,1625275682048692225,"@CharlieUK98 Hi, thanks for your query. Unfortunately our traders are unable to offer anything for your recent price request. Apologies.",AskPaddyPower
2023-02-13 23:28:09+00:00,1625275664223051777,"@TheophanesRex @RusselltheRed1 No you don't buy also you can't expect people not to query why you vote like you hate yourself and your community.
And your lack of forthcoming on why speaks more volumes than the truth anyway.",YesItsFukinPoli
2023-02-13 23:28:01+00:00,1625275632178417668,"@query_queen339 @hodderscape @2023Debuts @Classof2kBooks I'm freaking out, this is GORGEOUS",valo_wing
2023-02-13 23:27:00+00:00,1625275375692513280,Has anyone built a service yet where you can drop a bunch of PDFs in a folder and then have data automatically become structured and queryable? Eg resumes (query on a nonstandard field like “JavaScript”) or legal docs (eg query deal terms by transaction size?,MattHartman
